SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED,,Start,End
1267,Halsted,SB,Irving Park,Addison,0.5,N,,-87.649889,41.954562,-87.649676,41.947316,-1,10/15/16 11:50 PM,,"-87.649889, 41.954562","41.954562, -87.649676"
1189,Clark,SB,Ridge,Ashland,0.155005646,N,,-87.67016758,41.98969948,-87.66971,41.987541,-1,10/15/16 11:50 PM,,"-87.6701675838, 41.9896994841","41.9896994841, -87.66971"
1182,Broadway,NB,Hollywood,Devon,0.882967918,N,,-87.65994165,41.98546135,-87.66017285,41.99820756,-1,10/15/16 11:50 PM,,"-87.6599416534, 41.9854613518","41.9854613518, -87.6601728465"
1220,Halsted,NB,Roosevelt,Harrison,0.5,S,,-87.646729,41.867152,-87.646935,41.874338,23,10/15/16 11:50 PM,,"-87.646729, 41.867152","41.867152, -87.646935"
1261,Halsted,SB,North Ave,Division,0.5,N,,-87.648463,41.91092,-87.648284,41.903636,-1,10/15/16 11:50 PM,,"-87.648463, 41.91092","41.91092, -87.648284"
1178,57th,EB,Stony Island,Lake Shore Dr,0.3745,E,,-87.58389078,41.79250567,-87.58030282,41.79228062,18,10/15/16 11:50 PM,,"-87.5838907781, 41.7925056725","41.7925056725, -87.5803028186"
1264,Halsted,SB,Diversey,Fullerton,0.5,N,,-87.6492,41.932719,-87.64895,41.925454,-1,10/15/16 11:50 PM,,"-87.6492, 41.932719","41.932719, -87.64895"
1293,State,SB,Congress,Roosevelt,0.56,S,,-87.627718,41.875639,-87.627518,41.867413,25,10/15/16 11:50 PM,,"-87.627718, 41.875639","41.875639, -87.627518"
1305,Harrison,WB,State,Canal,0.6,W,,-87.627611,41.874652,-87.639487,41.874538,23,10/15/16 11:50 PM,,"-87.627611, 41.874652","41.874652, -87.639487"
1186,Sheridan,SB,Pratt,Devon,0.519240794,N,,-87.66110366,42.00554114,-87.66057285,41.99820972,29,10/15/16 11:50 PM,,"-87.6611036606, 42.0055411356","42.0055411356, -87.6605728465"
974,Pershing,WB,Damen,Western,0.5,W,,-87.67507424,41.82324972,-87.6849,41.82317531,-1,10/15/16 11:50 PM,,"-87.67507424, 41.82324972","41.82324972, -87.6849"
1185,Broadway,SB,Devon,Hollywood,0.882967918,N,,-87.66057285,41.99820972,-87.66030944,41.98546351,-1,10/15/16 11:50 PM,,"-87.6605728465, 41.9982097226","41.9982097226, -87.6603094445"
1218,Halsted,NB,Cermak,16th,0.5,S,,-87.646305,41.852646,-87.646517,41.859912,21,10/15/16 11:50 PM,,"-87.646305, 41.852646","41.852646, -87.646517"
1213,Halsted,NB,43rd,Pershing,0.5,S,,-87.645535,41.816184,-87.645736,41.823458,-1,10/15/16 11:50 PM,,"-87.645535, 41.816184","41.816184, -87.645736"
1299,LaSalle,SB,Wacker,Jackson,0.6,N,,-87.632584,41.886928,-87.632357,41.878134,-1,10/15/16 11:50 PM,,"-87.632584, 41.886928","41.886928, -87.632357"
1216,Halsted,NB,31st,Archer,0.63,S,,-87.646086,41.838046,-87.646297,41.847196,-1,10/15/16 11:50 PM,,"-87.646086, 41.838046","41.838046, -87.646297"
1294,State,NB,Congress,Wacker,0.77,N,,-87.627518,41.875639,-87.627876,41.886813,16,10/15/16 11:50 PM,,"-87.627518, 41.875639","41.875639, -87.627876"
1309,Harrison,WB,Canal,Halsted,0.4,W,,-87.639487,41.874538,-87.647125,41.874438,30,10/15/16 11:50 PM,,"-87.639487, 41.874538","41.874538, -87.647125"
1193,Dr Martin L King Jr,SB,Cermak,24th,0.254644034,S,,-87.61922418,41.85300299,-87.61852567,41.84935056,27,10/15/16 11:50 PM,,"-87.6192241821, 41.8530029925","41.8530029925, -87.6185256664"
1258,Halsted,SB,Grand,Madison,0.65,N,,-87.647807,41.891185,-87.647551,41.881776,-1,10/15/16 11:50 PM,,"-87.647807, 41.891185","41.891185, -87.647551"
1184,Sheridan,NB,Pratt,Touhy,0.519765416,N,,-87.66073575,42.00553898,-87.66326941,42.01282886,-1,10/15/16 11:50 PM,,"-87.6607357537, 42.0055389804","42.0055389804, -87.6632694105"
1187,Sheridan,SB,Touhy,Pratt,0.519765416,N,,-87.66363736,42.01283101,-87.66110366,42.00554114,-1,10/15/16 11:50 PM,,"-87.6636373596, 42.0128310075","42.0128310075, -87.6611036606"
